id,name,address,suburb,postcode,section_id,category,priority,status,phone,website,lat,lng,notes,visit_notes,source,rating,place_id,updated_at,sales_category,sales_category_label,sales_category_reason,google_maps_url
0c9f7c7a65d49d0a,Aspendale Gardens Fruit Centre,11 Narelle Drive VIC,,,bayside-frankston,greengrocer,medium,prospect,+61 3 9590 9086,,-38.0223106,145.1177554,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:41:52.881182+00:00,other,Uncategorised / other,other:produce,"https://www.google.com/maps/search/?api=1&query=-38.0223106,145.1177554"
6f9211d5aeb323fc,Blue Bay Deli,VIC,,,bayside-frankston,deli,medium,prospect,,,-38.1415516,145.1262293,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:42:02.524438+00:00,other,Uncategorised / other,other:generic_deli,"https://www.google.com/maps/search/?api=1&query=-38.1415516,145.1262293"
7daf0cd215b80b35,Frank & Jenny's Fruit Shop,VIC,,,bayside-frankston,greengrocer,medium,prospect,,,-38.1579697,145.130677,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:42:19.492168+00:00,other,Uncategorised / other,other:produce,"https://www.google.com/maps/search/?api=1&query=-38.1579697,145.130677"
02f29068b0af280f,Frankston gourmet / health food cluster,"Young Street / Playne Street, Frankston VIC 3199",Frankston,3199,bayside-frankston,health / specialty,medium,prospect,,,-38.1445,145.1225,Confirm independents on Maps visit,,seed,,,2026-09-17T13:41:20.223223+00:00,western_premium,Western premium / independent,heuristic:western,"https://www.google.com/maps/search/?api=1&query=-38.1445,145.1225"
9f18c9340f72f13e,Go Vita,417 Nepean Highway VIC,,,bayside-frankston,health food,medium,prospect,,,-38.0531535,145.1160311,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:42:24.664306+00:00,health_chains,Health / vitamin chains,override:go vita,"https://www.google.com/maps/search/?api=1&query=-38.0531535,145.1160311"
7d83e1b29e95452c,Lite and Easy,42 Colemans Road VIC,,,bayside-frankston,health food,medium,prospect,,,-38.0934205,145.1663802,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:42:14.679326+00:00,health_chains,Health / vitamin chains,override:lite and easy,"https://www.google.com/maps/search/?api=1&query=-38.0934205,145.1663802"
cfc8c23e57863f52,Lucky's Deli,VIC,,,bayside-frankston,deli,medium,prospect,,,-38.1424972,145.1255651,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:41:57.248208+00:00,other,Uncategorised / other,other:generic_deli,"https://www.google.com/maps/search/?api=1&query=-38.1424972,145.1255651"
e5850319de2f2063,MarketPlace Fresh,VIC,,,bayside-frankston,greengrocer,medium,prospect,,https://marketplacefresh.com.au/,-38.1521318,145.1671785,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:42:08.078285+00:00,other,Uncategorised / other,other:produce,"https://www.google.com/maps/search/?api=1&query=-38.1521318,145.1671785"
020b0a06947d8d80,Mornington Main Street specialty foods,"Main Street, Mornington VIC 3931",Mornington,3931,bayside-frankston,gourmet strip,medium,prospect,,,-38.2185,145.0365,Peninsula premium strip,,seed,,,2026-09-17T13:41:20.198118+00:00,western_premium,Western premium / independent,override:mornington main street specialty,"https://www.google.com/maps/search/?api=1&query=-38.2185,145.0365"
086b7b3ada6ba904,Planet Fruit & Vegetables,71 Young Street Frankston VIC,Frankston,,bayside-frankston,greengrocer,medium,prospect,,,-38.1449693,145.1250519,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:42:08.842690+00:00,other,Uncategorised / other,other:produce,"https://www.google.com/maps/search/?api=1&query=-38.1449693,145.1250519"
d5fe963bb231d0b0,Seaford Farmer's Market,VIC,,,bayside-frankston,marketplace,medium,prospect,,https://www.facebook.com/SeafordFarmersMarket/,-38.1028195,145.1271333,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:42:08.730050+00:00,other,Uncategorised / other,other:market,"https://www.google.com/maps/search/?api=1&query=-38.1028195,145.1271333"
a5c09866ecf0fe52,The Deli Stall,503 Station Street Carrum VIC 3197,Carrum,3197,bayside-frankston,deli,medium,prospect,,,-38.075402,145.1230605,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:42:24.778563+00:00,other,Uncategorised / other,other:generic_deli,"https://www.google.com/maps/search/?api=1&query=-38.075402,145.1230605"
8fd90efd89fe0950,The Green Scoop,30 Edithvale Road Edithvale VIC 3196,Edithvale,3196,bayside-frankston,health food,medium,prospect,,,-38.0377127,145.1120465,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:42:01.634937+00:00,western_premium,Western premium / independent,heuristic:western,"https://www.google.com/maps/search/?api=1&query=-38.0377127,145.1120465"
3d93a200947c3c26,Anloi Deli & Marinades,VIC,,,dandenong-corridor,deli,medium,prospect,,,-37.9503588,145.1509657,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:41:57.691524+00:00,western_premium,Western premium / independent,override:anloi deli,"https://www.google.com/maps/search/?api=1&query=-37.9503588,145.1509657"
0903cd86c356cb81,Bambi Deli,46C Brady Road Dandenong North VIC 3175,Dandenong North,3175,dandenong-corridor,deli,medium,prospect,+61 3 9795 4847,,-37.9544308,145.212642,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:42:26.527312+00:00,other,Uncategorised / other,other:generic_deli,"https://www.google.com/maps/search/?api=1&query=-37.9544308,145.212642"
e3772c218ece82ce,Binh Minh,46-48 Buckingham Avenue VIC,,,dandenong-corridor,greengrocer,medium,prospect,,,-37.9502373,145.1510653,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:41:55.645081+00:00,asian,Asian grocery,override:binh minh,"https://www.google.com/maps/search/?api=1&query=-37.9502373,145.1510653"
09519f41a4afe43e,Binh Minh Fresh,VIC,,,dandenong-corridor,greengrocer,medium,prospect,,,-37.9717516,145.1498766,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:41:56.667130+00:00,asian,Asian grocery,override:binh minh,"https://www.google.com/maps/search/?api=1&query=-37.9717516,145.1498766"
dd13cfc8d87097a1,Chan Kee,VIC,,,dandenong-corridor,deli,medium,prospect,,,-37.950365,145.1531487,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:41:55.754931+00:00,asian,Asian grocery,override:chan kee,"https://www.google.com/maps/search/?api=1&query=-37.950365,145.1531487"
596ed3f3a6e25a70,Dandenong Market,"Cleeland Street, Dandenong VIC 3175",Dandenong,3175,dandenong-corridor,fresh food market,medium,prospect,,https://www.dandenongmarket.com.au,-37.9875,145.2145,Wholesale-friendly market,,seed,,,2026-09-17T13:41:18.891316+00:00,other,Uncategorised / other,override:dandenong market,"https://www.google.com/maps/search/?api=1&query=-37.9875,145.2145"
6ce72d318f0d7eb0,Daton Groceries,36 Queens Avenue VIC,,,dandenong-corridor,greengrocer,medium,prospect,,,-37.9479933,145.1506843,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:41:55.845609+00:00,other,Uncategorised / other,other:greengrocer,"https://www.google.com/maps/search/?api=1&query=-37.9479933,145.1506843"
4d34fc08b70439ed,Emrah Food Mart,VIC,,,dandenong-corridor,deli,medium,prospect,,,-37.9892868,145.2165292,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:41:56.946231+00:00,other,Uncategorised / other,other:fallback,"https://www.google.com/maps/search/?api=1&query=-37.9892868,145.2165292"
cb3eefb431589583,Henry's Mercato,VIC,,,dandenong-corridor,greengrocer,medium,prospect,,,-37.9211468,145.2367359,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:42:02.239583+00:00,western_premium,Western premium / independent,override:henry's mercato,"https://www.google.com/maps/search/?api=1&query=-37.9211468,145.2367359"
daf89266ec65c7db,Indian grocery & spice cluster Clayton,"Clayton Road, Clayton VIC 3168",Clayton,3168,dandenong-corridor,spice / specialty grocery strip,medium,prospect,,,-37.9155,145.1215,Dense spice retail — walk Clayton Rd,,seed,,,2026-09-17T13:41:19.331641+00:00,indian,Indian grocery & spices,override:indian grocery,"https://www.google.com/maps/search/?api=1&query=-37.9155,145.1215"
